Ann. Return,Max DD,Turnover,Fitness,Threshold,Ticker,Accuracy
0.2333,0.1056,57,-0.1397,0.58,SHREECEM,0.8239
0.2312,0.1197,47,-0.1432,0.58,MOLDTKPAC,0.8448
0.3268,0.1629,50,-0.1434,0.58,ALICON,0.7746
0.2392,0.1163,52,-0.1436,0.56,DECCANCE,0.7746
0.3382,0.1576,59,-0.1456,0.58,IDEAFORGE,0.8114
0.217,0.1289,37,-0.1478,0.58,DIVGIITTS,0.8555
0.1915,0.0934,54,-0.1487,0.56,JSWINFRA,0.8068
0.385,0.178,62,-0.1491,0.58,LIBERTSHOE,0.7931
0.3224,0.1392,68,-0.1504,0.58,SUMMITSEC,0.7886
0.4753,0.2093,74,-0.1535,0.56,SAKSOFT,0.75
0.5524,0.2851,48,-0.1557,0.54,CIFL,0.7529
0.701,0.3427,60,-0.1559,0.58,GENESYS,0.7314
0.3462,0.1722,56,-0.1572,0.58,APOLLO,0.8636
0.2379,0.119,56,-0.1592,0.56,CGPOWER,0.8636
0.2724,0.147,48,-0.1595,0.58,SURYODAY,0.8391
0.204,0.1253,40,-0.1616,0.58,AMBIKCO,0.8563
0.2137,0.119,49,-0.1636,0.58,ARE&M,0.7727
0.2262,0.112,59,-0.1653,0.58,CENTRALBK,0.8011
0.3997,0.2106,50,-0.166,0.54,SIGNATURE,0.7572
0.2481,0.142,45,-0.166,0.58,RELIABLE,0.8497
0.5413,0.2751,55,-0.1661,0.56,DIGITIDE,0.7257
0.2006,0.0963,61,-0.1663,0.54,HDFCAMC,0.8057
0.253,0.1284,57,-0.1666,0.56,PGHH,0.7543
0.3466,0.1742,58,-0.1667,0.56,PARKHOTELS,0.7727
0.13,0.0703,55,-0.1669,0.56,ZYDUSLIFE,0.8352
0.6064,0.305,58,-0.1684,0.58,AWFIS,0.7273
0.0418,0.0674,16,-0.1692,0.58,KOVAI,0.8571
0.3216,0.15,67,-0.1697,0.58,GRSE,0.7771
0.4554,0.2258,61,-0.1705,0.58,CAPACITE,0.76
0.2432,0.1357,50,-0.1711,0.56,GRINFRA,0.7943
0.3371,0.1804,53,-0.1743,0.54,MTNL,0.733
0.3663,0.2024,48,-0.1755,0.58,CCAVENUE,0.76
0.4004,0.2114,54,-0.1759,0.58,PATELRMART,0.8239
0.2517,0.1683,32,-0.1764,0.56,GENSOL,0.7143
0.1289,0.1045,34,-0.1783,0.58,VADILALIND,0.8324
0.3223,0.1665,59,-0.1792,0.58,MOL,0.7543
0.2975,0.1484,63,-0.1793,0.58,LTTS,0.8057
0.3246,0.1696,58,-0.1793,0.58,SWIGGY,0.7443
0.2463,0.1414,50,-0.1794,0.58,ASHOKA,0.6971
0.099,0.0668,51,-0.1796,0.58,PIDILITIND,0.8295
0.1347,0.0888,48,-0.1808,0.54,CAPITALSFB,0.7931
0.1851,0.0944,62,-0.1808,0.58,CLEAN,0.76
0.4713,0.2345,65,-0.1834,0.58,GEEKAYWIRE,0.7657
0.2383,0.1224,62,-0.1837,0.58,GREENPOWER,0.7771
0.4851,0.2483,61,-0.1848,0.52,AURIONPRO,0.733
0.2406,0.137,53,-0.1857,0.5,SJS,0.8103
0.1634,0.1041,50,-0.1877,0.58,STARPAPER,0.7886
0.197,0.1165,53,-0.1883,0.58,SUNTV,0.7586
0.3477,0.1931,53,-0.1907,0.58,MINDTECK,0.7931
0.117,0.083,50,-0.192,0.58,BALMLAWRIE,0.7886
0.3706,0.2099,50,-0.1921,0.56,SANDHAR,0.8114
0.1456,0.1035,46,-0.1922,0.58,SHYAMMETL,0.8523
0.3496,0.1833,61,-0.1923,0.58,5PAISA,0.7816
0.2236,0.1328,53,-0.1926,0.58,NCC,0.7727
0.2586,0.1622,44,-0.1929,0.58,LINCOLN,0.8555
0.1275,0.1034,40,-0.1931,0.58,GSFC,0.7955
0.3179,0.1928,44,-0.1935,0.58,MTARTECH,0.8514
0.1436,0.1093,42,-0.1951,0.54,SOLARINDS,0.8514
0.2332,0.1298,59,-0.1958,0.56,RUPA,0.7414
0.2408,0.1398,55,-0.196,0.54,VETO,0.8114
0.1531,0.1058,48,-0.1965,0.52,YATHARTH,0.7759
0.2977,0.1829,45,-0.1966,0.58,E2E,0.7886
0.2114,0.1537,36,-0.1993,0.58,SSWL,0.8621
0.4741,0.2631,52,-0.1998,0.58,MBEL,0.7841
0.2486,0.1442,56,-0.1998,0.56,ARVINDFASN,0.8057
0.2402,0.147,51,-0.2003,0.58,UDS,0.8218
0.2326,0.1412,53,-0.2004,0.58,ASTRAMICRO,0.8352
0.3839,0.2044,62,-0.2011,0.56,CRIZAC,0.7443
0.3092,0.1821,51,-0.2015,0.58,ITDC,0.8161
0.1176,0.0917,48,-0.2022,0.58,APLAPOLLO,0.8466
0.4502,0.2575,48,-0.2028,0.58,SIGACHI,0.7816
0.3785,0.1953,66,-0.2028,0.58,GUJAPOLLO,0.7746
0.0383,0.0807,28,-0.2032,0.58,APOLLOHOSP,0.8857
0.6241,0.3451,48,-0.204,0.56,JINDALPOLY,0.7816
0.1213,0.0798,59,-0.2058,0.58,LICI,0.8011
0.1824,0.1192,52,-0.2062,0.58,APOLSINHOT,0.815
0.2846,0.1562,63,-0.2068,0.58,TANLA,0.7614
0.1807,0.1289,46,-0.2078,0.56,CRISIL,0.8182
0.174,0.101,63,-0.2081,0.58,DELHIVERY,0.7943
0.3191,0.2033,42,-0.2082,0.58,DIFFNKG,0.8333
0.3896,0.2271,50,-0.2083,0.58,SITINET,0.7989
0.2851,0.1648,58,-0.2102,0.58,IKIO,0.7943
0.2069,0.1306,55,-0.2105,0.58,RECLTD,0.7898
0.2938,0.1614,63,-0.211,0.56,DWARKESH,0.8092
0.2902,0.1675,58,-0.2115,0.58,SINDHUTRAD,0.7586
0.2721,0.1637,55,-0.2115,0.56,TATACHEM,0.6875
0.4313,0.2524,49,-0.2127,0.58,KIRIINDUS,0.7784
0.3325,0.187,60,-0.2129,0.58,SHAREINDIA,0.7829
0.3077,0.1794,57,-0.213,0.58,MASTEK,0.75
0.2957,0.1789,53,-0.2135,0.58,NAVNETEDUL,0.7486
0.4039,0.2315,54,-0.2135,0.58,EBGNG,0.8343
0.1285,0.1022,48,-0.2139,0.58,JAGRAN,0.8218
